product_id,product_type,product_name,size,colour,price,quantity,description
0,Shirt,Oxford Cloth,XS,red,96,57,"A red coloured, XS sized, Oxford Cloth Shirt"
1,Shirt,Oxford Cloth,S,red,96,41,"A red coloured, S sized, Oxford Cloth Shirt"
2,Shirt,Oxford Cloth,M,red,96,75,"A red coloured, M sized, Oxford Cloth Shirt"
3,Shirt,Oxford Cloth,L,red,96,41,"A red coloured, L sized, Oxford Cloth Shirt"
4,Shirt,Oxford Cloth,XL,red,96,52,"A red coloured, XL sized, Oxford Cloth Shirt"
5,Shirt,Oxford Cloth,XS,orange,96,78,"A orange coloured, XS sized, Oxford Cloth Shirt"
6,Shirt,Oxford Cloth,S,orange,96,57,"A orange coloured, S sized, Oxford Cloth Shirt"
7,Shirt,Oxford Cloth,M,orange,96,69,"A orange coloured, M sized, Oxford Cloth Shirt"
8,Shirt,Oxford Cloth,L,orange,96,41,"A orange coloured, L sized, Oxford Cloth Shirt"
9,Shirt,Oxford Cloth,XL,orange,96,62,"A orange coloured, XL sized, Oxford Cloth Shirt"
10,Shirt,Oxford Cloth,XS,yellow,96,59,"A yellow coloured, XS sized, Oxford Cloth Shirt"
11,Shirt,Oxford Cloth,S,yellow,96,52,"A yellow coloured, S sized, Oxford Cloth Shirt"
12,Shirt,Oxford Cloth,M,yellow,96,51,"A yellow coloured, M sized, Oxford Cloth Shirt"
13,Shirt,Oxford Cloth,L,yellow,96,74,"A yellow coloured, L sized, Oxford Cloth Shirt"
14,Shirt,Oxford Cloth,XL,yellow,96,46,"A yellow coloured, XL sized, Oxford Cloth Shirt"
15,Shirt,Oxford Cloth,XS,green,96,51,"A green coloured, XS sized, Oxford Cloth Shirt"
16,Shirt,Oxford Cloth,S,green,96,79,"A green coloured, S sized, Oxford Cloth Shirt"
17,Shirt,Oxford Cloth,M,green,96,41,"A green coloured, M sized, Oxford Cloth Shirt"
18,Shirt,Oxford Cloth,L,green,96,50,"A green coloured, L sized, Oxford Cloth Shirt"
19,Shirt,Oxford Cloth,XL,green,96,53,"A green coloured, XL sized, Oxford Cloth Shirt"
20,Shirt,Oxford Cloth,XS,blue,96,50,"A blue coloured, XS sized, Oxford Cloth Shirt"
21,Shirt,Oxford Cloth,S,blue,96,72,"A blue coloured, S sized, Oxford Cloth Shirt"
22,Shirt,Oxford Cloth,M,blue,96,76,"A blue coloured, M sized, Oxford Cloth Shirt"
23,Shirt,Oxford Cloth,L,blue,96,56,"A blue coloured, L sized, Oxford Cloth Shirt"
24,Shirt,Oxford Cloth,XL,blue,96,55,"A blue coloured, XL sized, Oxford Cloth Shirt"
25,Shirt,Oxford Cloth,XS,indigo,96,48,"A indigo coloured, XS sized, Oxford Cloth Shirt"
26,Shirt,Oxford Cloth,S,indigo,96,60,"A indigo coloured, S sized, Oxford Cloth Shirt"
27,Shirt,Oxford Cloth,M,indigo,96,68,"A indigo coloured, M sized, Oxford Cloth Shirt"
28,Shirt,Oxford Cloth,L,indigo,96,76,"A indigo coloured, L sized, Oxford Cloth Shirt"
29,Shirt,Oxford Cloth,XL,indigo,96,53,"A indigo coloured, XL sized, Oxford Cloth Shirt"
30,Shirt,Oxford Cloth,XS,violet,96,64,"A violet coloured, XS sized, Oxford Cloth Shirt"
31,Shirt,Oxford Cloth,S,violet,96,77,"A violet coloured, S sized, Oxford Cloth Shirt"
32,Shirt,Oxford Cloth,M,violet,96,60,"A violet coloured, M sized, Oxford Cloth Shirt"
33,Shirt,Oxford Cloth,L,violet,96,62,"A violet coloured, L sized, Oxford Cloth Shirt"
34,Shirt,Oxford Cloth,XL,violet,96,42,"A violet coloured, XL sized, Oxford Cloth Shirt"
35,Shirt,Dress,XS,red,104,51,"A red coloured, XS sized, Dress Shirt"
36,Shirt,Dress,S,red,104,61,"A red coloured, S sized, Dress Shirt"
37,Shirt,Dress,M,red,104,57,"A red coloured, M sized, Dress Shirt"
38,Shirt,Dress,L,red,104,40,"A red coloured, L sized, Dress Shirt"
39,Shirt,Dress,XL,red,104,54,"A red coloured, XL sized, Dress Shirt"
40,Shirt,Dress,XS,orange,104,41,"A orange coloured, XS sized, Dress Shirt"
41,Shirt,Dress,S,orange,104,80,"A orange coloured, S sized, Dress Shirt"
42,Shirt,Dress,M,orange,104,42,"A orange coloured, M sized, Dress Shirt"
43,Shirt,Dress,L,orange,104,45,"A orange coloured, L sized, Dress Shirt"
44,Shirt,Dress,XL,orange,104,79,"A orange coloured, XL sized, Dress Shirt"
45,Shirt,Dress,XS,yellow,104,43,"A yellow coloured, XS sized, Dress Shirt"
46,Shirt,Dress,S,yellow,104,58,"A yellow coloured, S sized, Dress Shirt"
47,Shirt,Dress,M,yellow,104,73,"A yellow coloured, M sized, Dress Shirt"
48,Shirt,Dress,L,yellow,104,69,"A yellow coloured, L sized, Dress Shirt"
49,Shirt,Dress,XL,yellow,104,76,"A yellow coloured, XL sized, Dress Shirt"
50,Shirt,Dress,XS,green,104,64,"A green coloured, XS sized, Dress Shirt"
51,Shirt,Dress,S,green,104,55,"A green coloured, S sized, Dress Shirt"
52,Shirt,Dress,M,green,104,54,"A green coloured, M sized, Dress Shirt"
53,Shirt,Dress,L,green,104,53,"A green coloured, L sized, Dress Shirt"
54,Shirt,Dress,XL,green,104,68,"A green coloured, XL sized, Dress Shirt"
55,Shirt,Dress,XS,blue,104,44,"A blue coloured, XS sized, Dress Shirt"
56,Shirt,Dress,S,blue,104,76,"A blue coloured, S sized, Dress Shirt"
57,Shirt,Dress,M,blue,104,47,"A blue coloured, M sized, Dress Shirt"
58,Shirt,Dress,L,blue,104,75,"A blue coloured, L sized, Dress Shirt"
59,Shirt,Dress,XL,blue,104,57,"A blue coloured, XL sized, Dress Shirt"
60,Shirt,Dress,XS,indigo,104,49,"A indigo coloured, XS sized, Dress Shirt"
61,Shirt,Dress,S,indigo,104,44,"A indigo coloured, S sized, Dress Shirt"
62,Shirt,Dress,M,indigo,104,64,"A indigo coloured, M sized, Dress Shirt"
63,Shirt,Dress,L,indigo,104,54,"A indigo coloured, L sized, Dress Shirt"
64,Shirt,Dress,XL,indigo,104,65,"A indigo coloured, XL sized, Dress Shirt"
65,Shirt,Dress,XS,violet,104,72,"A violet coloured, XS sized, Dress Shirt"
66,Shirt,Dress,S,violet,104,58,"A violet coloured, S sized, Dress Shirt"
67,Shirt,Dress,M,violet,104,41,"A violet coloured, M sized, Dress Shirt"
68,Shirt,Dress,L,violet,104,52,"A violet coloured, L sized, Dress Shirt"
69,Shirt,Dress,XL,violet,104,40,"A violet coloured, XL sized, Dress Shirt"
70,Shirt,Flannel,XS,red,118,58,"A red coloured, XS sized, Flannel Shirt"
71,Shirt,Flannel,S,red,118,78,"A red coloured, S sized, Flannel Shirt"
72,Shirt,Flannel,M,red,118,79,"A red coloured, M sized, Flannel Shirt"
73,Shirt,Flannel,L,red,118,76,"A red coloured, L sized, Flannel Shirt"
74,Shirt,Flannel,XL,red,118,65,"A red coloured, XL sized, Flannel Shirt"
75,Shirt,Flannel,XS,orange,118,46,"A orange coloured, XS sized, Flannel Shirt"
76,Shirt,Flannel,S,orange,118,60,"A orange coloured, S sized, Flannel Shirt"
77,Shirt,Flannel,M,orange,118,55,"A orange coloured, M sized, Flannel Shirt"
78,Shirt,Flannel,L,orange,118,46,"A orange coloured, L sized, Flannel Shirt"
79,Shirt,Flannel,XL,orange,118,61,"A orange coloured, XL sized, Flannel Shirt"
80,Shirt,Flannel,XS,yellow,118,70,"A yellow coloured, XS sized, Flannel Shirt"
81,Shirt,Flannel,S,yellow,118,55,"A yellow coloured, S sized, Flannel Shirt"
82,Shirt,Flannel,M,yellow,118,69,"A yellow coloured, M sized, Flannel Shirt"
83,Shirt,Flannel,L,yellow,118,54,"A yellow coloured, L sized, Flannel Shirt"
84,Shirt,Flannel,XL,yellow,118,60,"A yellow coloured, XL sized, Flannel Shirt"
85,Shirt,Flannel,XS,green,118,61,"A green coloured, XS sized, Flannel Shirt"
